Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1673227918,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1673227919,10,,Aggregated,0.000000,0.000000,10,16,17,21,180,190,190,190,190,190,190,55,0,10,42.14395640248602,5.5448999628424644,192.31719989329576,56.07272727272727
1673227920,20,,Aggregated,0.000000,0.000000,10,13,17,18,21,24,71,180,190,190,190,725,0,10,15.556636134098316,4.249900113791227,192.31719989329576,55.00137931034483
1673227921,30,,Aggregated,0.000000,0.000000,25,25,32,33,35,37,38,38,38,38,38,30,0,24,26.37318001749615,20.101699978113174,37.97539975494146,55.1
1673227922,40,,Aggregated,0.000000,0.000000,25,26,27,28,33,50,77,200,210,210,210,775,0,25,29.6781550990718,3.8870000280439854,206.85740001499653,55.23483870967742
1673227923,50,,Aggregated,0.000000,0.000000,29,38,43,45,52,57,76,110,210,210,210,1359,0,29,35.08649006584622,3.8870000280439854,206.85740001499653,55.09639440765269
1673227924,60,,Aggregated,0.000000,0.000000,44,46,48,48,220,220,220,220,220,220,220,61,0,44,71.27355083395712,11.947500053793192,220.68300005048513,54.63934426229508
1673227925,70,,Aggregated,0.000000,0.000000,49,53,60,68,100,170,170,220,220,220,220,820,0,49,62.461966714571886,2.614900004118681,220.68300005048513,55.56951219512195
1673227926,80,,Aggregated,0.000000,0.000000,52,60,67,78,100,160,170,220,430,440,440,1530,0,52,67.34529569093746,2.614900004118681,435.16650004312396,55.26993464052288
1673227927,90,,Aggregated,0.000000,0.000000,60,64,65,66,67,67,180,180,180,180,180,69,0,60,65.7189956434287,44.41130021587014,179.08830009400845,55.17391304347826
1673227928,100,,Aggregated,0.000000,0.000000,70,92,140,140,200,210,210,600,610,610,610,808,0,70,105.1023574136797,16.18319982662797,605.6775003671646,54.011138613861384
1673227929,100,,Aggregated,0.000000,0.000000,83,95,110,130,150,200,210,310,610,610,610,1654,0,83,99.42838808289642,16.18319982662797,605.6775003671646,54.535671100362755
1673227930,100,,Aggregated,0.000000,0.000000,110,110,110,110,120,120,120,220,220,220,220,100,0,110.0,104.04517499729991,78.2349999062717,220.54720018059015,53.57
1673227931,100,,Aggregated,0.000000,0.000000,82,86,89,91,100,110,120,190,220,220,220,997,0,82,85.26938034636281,17.17539969831705,220.54720018059015,55.0641925777332
1673227932,100,,Aggregated,0.000000,0.000000,83,88,94,100,110,130,150,200,260,260,260,1829,0,83,88.97947025713967,17.17539969831705,256.2938998453319,55.019136139967195
1673227933,100,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,100,0,130.0,93.71813599485904,18.11000006273389,132.5687998905778,57.65
1673227934,100,,Aggregated,0.000000,0.000000,85,91,97,100,120,130,130,200,230,230,230,993,0,85,90.12113373645948,18.11000006273389,232.33360005542636,54.41691842900302
1673227935,100,,Aggregated,0.000000,0.000000,84,88,91,95,110,120,130,190,230,230,230,1891,0,84,87.43321491525539,18.11000006273389,232.33360005542636,54.20729772607086
1673227936,100,,Aggregated,0.000000,0.000000,77,78,79,79,80,80,81,190,190,190,190,198,0,77,78.09737373632613,71.83029968291521,188.32310009747744,56.18181818181818
1673227937,100,,Aggregated,0.000000,0.000000,81,92,99,100,110,170,170,200,220,220,220,1012,0,81,92.32788468598804,2.0455997437238693,224.54970004037023,55.39229249011858
1673227938,100,,Aggregated,0.000000,0.000000,81,88,98,100,110,150,170,180,230,240,240,1945,0,81,89.16479043691278,2.0455997437238693,235.0492998957634,54.95578406169666
