Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1670828237,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828238,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828239,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828240,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828241,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828242,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1670828243,10,,Aggregated,0.000000,0.000000,9,9,9,9,10,10,10,10,10,10,10,20,0,9,9.04022998875007,8.557099848985672,9.6151998732239,62.75
1670828244,20,,Aggregated,0.000000,0.000000,16,17,17,18,19,21,33,62,65,65,65,836,0,16,16.592302991569703,4.833800019696355,65.03330008126795,54.97488038277512
1670828245,30,,Aggregated,0.000000,0.000000,19,22,23,24,25,29,57,63,110,110,110,1622,0,19,20.456030949922656,4.833800019696355,109.07049989327788,54.65659679408138
1670828247,40,,Aggregated,0.000000,0.000000,33,39,39,39,40,40,40,40,40,40,40,80,0,33,34.91097752121277,20.553200040012598,40.0347001850605,53.1875
1670828248,50,,Aggregated,0.000000,0.000000,41,43,44,45,47,130,130,200,200,200,200,907,0,41,45.55727277015764,2.032299991697073,203.48879997618496,53.85446527012128
1670828249,60,,Aggregated,80.000000,0.000000,45,48,50,51,58,130,140,200,300,300,300,1719,0,45,51.07107272056333,2.032299991697073,303.5152000375092,54.21582315299593
1670828250,70,,Aggregated,0.000000,0.000000,60,62,63,63,66,66,67,67,67,67,67,141,0,60,58.83529078023812,15.092199901118875,67.07379990257323,55.42553191489362
1670828251,80,,Aggregated,0.000000,0.000000,61,64,66,78,140,150,150,440,440,440,440,991,0,61,74.46154379393947,14.85930010676384,441.81059999391437,53.733602421796164
1670828252,100,,Aggregated,71.000000,0.000000,61,65,87,100,140,150,220,440,460,470,470,1816,0,61,79.98707885702657,14.85930010676384,466.94579999893904,54.27147577092511
1670828253,100,,Aggregated,0.000000,0.000000,76,78,79,80,82,83,84,84,190,190,190,300,0,76,77.08813299347337,69.33819991536438,192.94849992729723,54.42
1670828254,100,,Aggregated,0.000000,0.000000,77,78,79,80,82,84,100,100,190,190,190,1297,0,77,77.23259891896043,64.84170001931489,192.94849992729723,54.99383191981496
1670828255,100,,Aggregated,0.000000,0.000000,77,79,80,81,83,86,100,100,190,210,210,2291,0,77,78.01154941248873,58.28440003097057,206.54850010760128,54.719336534264514
1670828256,100,,Aggregated,0.000000,0.000000,80,83,88,100,160,170,170,170,350,350,350,394,0,80,95.41838427031706,51.61670013330877,351.3793998863548,54.01269035532995
1670828257,100,,Aggregated,0.000000,0.000000,78,80,81,82,86,110,170,170,320,350,350,1392,0,77,82.84189763021303,22.71770010702312,351.3793998863548,54.689655172413794
1670828258,100,,Aggregated,0.000000,0.000000,77,79,81,81,84,100,160,170,320,350,350,2390,0,77,80.77000029381193,21.06250007636845,351.3793998863548,54.502510460251045
